person_id,term_code,classification,major_code,subject,number,campus
10131,201710,JR,RCSC,CSCI,2333,BRW     
10131,201710,JR,RCSC,CSCI,2344,BRW     
10131,201710,JR,RCSC,CSCI,2380,BRW     
10131,201620,JR,RCSC,CSCI,1170,BRW     
10131,201620,JR,RCSC,CSCI,1370,BRW     
10131,201610,SO,RCSC,CSCI,1101,BRW     
10131,201730,SR,RCSC,CSCI,4319,BRW     
10131,201910,SR,RCSC,CSCI,4333,BRW     
10131,201910,SR,RCSC,CSCI,4390,BRW     
10131,201910,SR,RCSC,CSCI,4325,ONL     
10131,201720,SR,RCSC,CSCI,3310,BRW     
10131,201720,SR,RCSC,CSCI,3326,BRW     
10131,201720,SR,RCSC,CSCI,3334,BRW     
10131,201720,SR,RCSC,CSCI,3336,BRW     
10131,201820,SR,RCSC,CSCI,4301,BRW     
10131,201820,SR,RCSC,CSCI,4365,BRW     
10131,201810,SR,RCSC,CSCI,3333,BRW     
10131,201810,SR,RCSC,CSCI,3340,BRW     
10131,201810,SR,RCSC,CSCI,4345,BRW     
10134,201910,PB,RCSC,CSCI,2344,BRW     
10134,201910,PB,RCSC,CSCI,3310,BRW     
10134,201910,PB,RCSC,CSCI,3334,BRW     
10134,201910,PB,RCSC,CSCI,4345,BRW     
10134,201820,PB,RCSC,CSCI,2333,BRW     
10134,201820,PB,RCSC,CSCI,2380,BRW     
10134,201820,PB,RCSC,CSCI,3326,BRW     
10134,202010,PB,RCSC,CSCI,3370,BRW     
10134,202010,PB,RCSC,CSCI,4334,BRW     
10134,202010,PB,RCSC,CSCI,4390,BRW     
10134,201920,PB,RCSC,CSCI,3333,BRW     
10134,201920,PB,RCSC,CSCI,3336,BRW     
10134,201920,PB,RCSC,CSCI,3340,BRW     
10134,201920,PB,RCSC,CSCI,4365,BRW     
10134,201920,PB,RCSC,CSCI,4325,ONL     
10134,201930,PB,RCSC,CSCI,3342,BRW     
10134,201930,PB,RCSC,CSCI,4319,BRW     
10134,201810,PB,RCSC,CSCI,1101,BRW     
10134,201810,PB,RCSC,CSCI,1170,BRW     
10134,201810,PB,RCSC,CSCI,1370,BRW     
10143,201710,JR,RCSC,CSCI,2333,BRW     
10143,201710,JR,RCSC,CSCI,2344,BRW     
10143,201710,JR,RCSC,CSCI,2380,BRW     
10143,201720,JR,RCSC,CSCI,3310,BRW     
10143,201720,JR,RCSC,CSCI,3326,BRW     
10143,201720,JR,RCSC,CSCI,3334,BRW     
10143,201720,JR,RCSC,CSCI,3336,BRW     
10143,201610,SO,RCSC,CSCI,1101,BRW     
10143,201620,SO,RCSC,CSCI,1170,BRW     
10143,201620,SO,RCSC,CSCI,1370,BRW     
10143,201730,SR,RCSC,CSCI,4319,BRW     
10143,201910,SR,RCSC,CSCI,4333,BRW     
10143,201910,SR,RCSC,CSCI,4390,BRW     
10143,201910,SR,RCSC,CSCI,4325,ONL     
10143,201820,SR,RCSC,CSCI,4301,BRW     
10143,201820,SR,RCSC,CSCI,4365,BRW     
10143,201810,SR,RCSC,CSCI,3333,BRW     
10143,201810,SR,RCSC,CSCI,3340,BRW     
10143,201810,SR,RCSC,CSCI,4345,BRW     
10155,201710,SR,RCSC,CMPE,4345,ED      
10155,201710,SR,RCSC,CMPE,4372,ED      
10155,201710,SR,RCSC,CMPE,4372,ED      
10155,201710,SR,RCSC,CMPE,4375,ED      
10155,201610,SR,RCSC,CMPE,3340,ED      
10155,201610,SR,RCSC,CMPE,3403,ED      
10155,201610,SR,RCSC,CMPE,4333,ED      
10155,201610,SR,RCSC,CMPE,4335,ED      
10155,201630,SR,RCSC,CMPE,4341,ED      
10155,201620,SR,RCSC,CSCI,3370,ED      
10155,201620,SR,RCSC,CMPE,3341,ED      
10155,201620,SR,RCSC,CMPE,4334,ED      
10155,201620,SR,RCSC,CMPE,4371,ED      
10155,201620,SR,RCSC,CMPE,4371,ED      
10164,202110,MA,RCSC,CSCI,3333,OLS     
10164,202020,PB,RCSC,CSCI,2333,ED      
10164,202020,PB,RCSC,CSCI,2344,ED      
10164,202020,PB,RCSC,CSCI,2380,ED      
10164,202020,PB,RCSC,CSCI,3310,ED      
10164,202010,PB,RCSC,CSCI,1101,ED      
10164,202010,PB,RCSC,CSCI,1170,ED      
10164,202010,PB,RCSC,CSCI,1370,ED      
10164,202040,PB,RCSC,CSCI,3340,ONL     
10164,202030,PB,RCSC,CSCI,4341,ONL     
10248,201610,JR,RCSC,CSCI,3340,ED      
10248,201610,JR,RCSC,CSCI,4333,ED      
10248,201610,JR,RCSC,CSCI,4345,ED      
10248,201710,SR,RCSC,CSCI,3342,ED      
10248,201710,SR,RCSC,CSCI,4325,ED      
10248,201720,SR,RCSC,CSCI,4390,ED      
10248,201620,SR,RCSC,CSCI,3336,ED      
10248,201620,SR,RCSC,CSCI,4334,ED      
10248,201620,SR,RCSC,CSCI,4350,ED      
10248,201620,SR,RCSC,CSCI,4352,ED      
10254,201610,FR,RCSC,CSCI,1380,BRW     
10254,201720,JR,RCSC,CSCI,1101,BRW     
10254,201810,JR,RCSC,CSCI,3310,BRW     
